period start,updates/m,creations/m,sales/m
2026-04-27 05:30:00+00,88.2000000000000000,50.4000000000000000,193.8000000000000000
2026-04-27 05:35:00+00,75.4000000000000000,55.6000000000000000,169.4000000000000000
2026-04-27 05:40:00+00,79.0000000000000000,37.8000000000000000,165.8000000000000000
2026-04-27 05:45:00+00,55.0000000000000000,41.4000000000000000,152.6000000000000000
2026-04-27 05:50:00+00,66.0000000000000000,36.6000000000000000,146.0000000000000000
2026-04-27 05:55:00+00,64.0000000000000000,56.0000000000000000,153.0000000000000000
2026-04-27 06:00:00+00,72.6000000000000000,59.4000000000000000,166.4000000000000000
2026-04-27 06:05:00+00,67.0000000000000000,45.6000000000000000,149.0000000000000000
2026-04-27 06:10:00+00,77.4000000000000000,49.4000000000000000,152.0000000000000000
2026-04-27 06:15:00+00,76.8000000000000000,53.2000000000000000,167.0000000000000000
2026-04-27 06:20:00+00,78.4000000000000000,49.6000000000000000,148.4000000000000000
2026-04-27 06:25:00+00,80.0000000000000000,46.4000000000000000,170.4000000000000000
2026-04-27 06:30:00+00,68.0000000000000000,48.4000000000000000,163.4000000000000000
2026-04-27 06:35:00+00,60.0000000000000000,46.4000000000000000,168.0000000000000000
2026-04-27 06:40:00+00,51.8000000000000000,53.0000000000000000,227.0000000000000000
2026-04-27 06:45:00+00,49.6000000000000000,53.2000000000000000,213.4000000000000000
2026-04-27 06:50:00+00,52.4000000000000000,48.4000000000000000,202.0000000000000000
2026-04-27 06:55:00+00,74.0000000000000000,50.8000000000000000,177.0000000000000000
2026-04-27 07:00:00+00,60.8000000000000000,47.0000000000000000,238.8000000000000000
2026-04-27 07:05:00+00,75.6000000000000000,56.6000000000000000,164.6000000000000000
2026-04-27 07:10:00+00,73.0000000000000000,52.4000000000000000,123.4000000000000000
2026-04-27 07:15:00+00,85.8000000000000000,54.6000000000000000,142.4000000000000000
2026-04-27 07:20:00+00,85.0000000000000000,61.0000000000000000,158.8000000000000000
2026-04-27 07:25:00+00,75.4000000000000000,62.0000000000000000,170.8000000000000000
2026-04-27 07:30:00+00,90.8000000000000000,57.6000000000000000,170.2000000000000000
2026-04-27 07:35:00+00,81.0000000000000000,49.6000000000000000,136.6000000000000000
2026-04-27 07:40:00+00,84.8000000000000000,49.4000000000000000,146.2000000000000000
2026-04-27 07:45:00+00,89.8000000000000000,48.4000000000000000,162.0000000000000000
2026-04-27 07:50:00+00,89.6000000000000000,65.8000000000000000,145.2000000000000000
2026-04-27 07:55:00+00,80.6000000000000000,49.2000000000000000,146.8000000000000000
2026-04-27 08:00:00+00,68.8000000000000000,51.6000000000000000,149.6000000000000000
2026-04-27 08:05:00+00,78.8000000000000000,67.4000000000000000,160.2000000000000000
2026-04-27 08:10:00+00,70.8000000000000000,41.8000000000000000,139.8000000000000000
2026-04-27 08:15:00+00,47.6000000000000000,69.2000000000000000,157.4000000000000000
2026-04-27 08:20:00+00,58.2000000000000000,53.6000000000000000,152.0000000000000000
2026-04-27 08:25:00+00,60.6000000000000000,77.6000000000000000,182.2000000000000000
2026-04-27 08:30:00+00,74.6000000000000000,71.6000000000000000,170.6000000000000000
2026-04-27 08:35:00+00,72.4000000000000000,51.6000000000000000,202.4000000000000000
2026-04-27 08:40:00+00,77.8000000000000000,58.8000000000000000,215.0000000000000000
2026-04-27 08:45:00+00,73.4000000000000000,48.6000000000000000,151.8000000000000000
2026-04-27 08:50:00+00,72.4000000000000000,57.6000000000000000,228.0000000000000000
2026-04-27 08:55:00+00,54.0000000000000000,59.0000000000000000,240.2000000000000000
2026-04-27 09:00:00+00,55.4000000000000000,41.6000000000000000,183.0000000000000000
2026-04-27 09:05:00+00,44.0000000000000000,71.0000000000000000,199.2000000000000000
2026-04-27 09:10:00+00,48.6000000000000000,56.4000000000000000,171.0000000000000000
2026-04-27 09:15:00+00,54.2000000000000000,47.0000000000000000,213.6000000000000000
2026-04-27 09:20:00+00,75.8000000000000000,54.8000000000000000,141.8000000000000000
2026-04-27 09:25:00+00,78.0000000000000000,50.6000000000000000,152.4000000000000000
