"period start","updates/m","creations/m","sales/m","deletions/m","total/m"
"2026-04-19 21:25:00+00",94.6000000000000000,61.8000000000000000,277.2000000000000000,72.4000000000000000,506.0000000000000000
"2026-04-19 21:30:00+00",86.4000000000000000,72.0000000000000000,295.6000000000000000,89.8000000000000000,543.8000000000000000
"2026-04-19 21:35:00+00",103.0000000000000000,82.2000000000000000,284.0000000000000000,71.0000000000000000,540.2000000000000000
"2026-04-19 21:40:00+00",113.0000000000000000,62.6000000000000000,275.6000000000000000,70.2000000000000000,521.4000000000000000
"2026-04-19 21:45:00+00",97.4000000000000000,78.0000000000000000,240.6000000000000000,74.8000000000000000,490.8000000000000000
"2026-04-19 21:50:00+00",105.6000000000000000,71.2000000000000000,277.4000000000000000,58.0000000000000000,512.2000000000000000
"2026-04-19 21:55:00+00",116.6000000000000000,66.6000000000000000,258.2000000000000000,53.0000000000000000,494.4000000000000000
"2026-04-19 22:00:00+00",85.4000000000000000,64.8000000000000000,344.0000000000000000,51.6000000000000000,545.8000000000000000
"2026-04-19 22:05:00+00",88.8000000000000000,75.6000000000000000,252.2000000000000000,77.4000000000000000,494.0000000000000000
"2026-04-19 22:10:00+00",71.6000000000000000,67.6000000000000000,280.0000000000000000,73.0000000000000000,492.2000000000000000
"2026-04-19 22:15:00+00",80.4000000000000000,64.2000000000000000,219.4000000000000000,65.4000000000000000,429.4000000000000000
"2026-04-19 22:20:00+00",76.2000000000000000,59.4000000000000000,226.2000000000000000,68.6000000000000000,430.4000000000000000
"2026-04-19 22:25:00+00",77.2000000000000000,61.4000000000000000,221.8000000000000000,50.0000000000000000,410.4000000000000000
"2026-04-19 22:30:00+00",60.6000000000000000,55.4000000000000000,262.6000000000000000,57.8000000000000000,436.4000000000000000
"2026-04-19 22:35:00+00",80.4000000000000000,45.4000000000000000,248.8000000000000000,63.2000000000000000,437.8000000000000000
"2026-04-19 22:40:00+00",70.8000000000000000,42.4000000000000000,223.2000000000000000,53.2000000000000000,389.6000000000000000
"2026-04-19 22:45:00+00",67.4000000000000000,57.6000000000000000,189.4000000000000000,122.2000000000000000,436.6000000000000000
"2026-04-19 22:50:00+00",79.8000000000000000,47.6000000000000000,232.6000000000000000,52.6000000000000000,412.6000000000000000
"2026-04-19 22:55:00+00",74.6000000000000000,71.8000000000000000,236.2000000000000000,42.4000000000000000,425.0000000000000000
"2026-04-19 23:00:00+00",73.0000000000000000,42.6000000000000000,247.0000000000000000,72.6000000000000000,435.2000000000000000
"2026-04-19 23:05:00+00",56.2000000000000000,49.0000000000000000,203.8000000000000000,44.0000000000000000,353.0000000000000000
"2026-04-19 23:10:00+00",63.8000000000000000,55.2000000000000000,227.6000000000000000,36.8000000000000000,383.4000000000000000
"2026-04-19 23:15:00+00",73.8000000000000000,54.6000000000000000,160.0000000000000000,58.2000000000000000,346.6000000000000000
"2026-04-19 23:20:00+00",55.0000000000000000,57.6000000000000000,176.2000000000000000,47.0000000000000000,335.8000000000000000
"2026-04-19 23:25:00+00",65.2000000000000000,38.8000000000000000,195.6000000000000000,47.6000000000000000,347.2000000000000000
